Citation Key,DOI,PDF Filename,File Location,Electron Probe Microanalysis (EPMA),Scanning Electron Microscopy (SEM / FIB-SEM),Transmission Electron Microscopy (TEM / STEM),Raman Vibrational Spectroscopy,X-ray Diffraction (XRD),Secondary Ion Mass Spectrometry (SIMS / NanoSIMS / SHRIMP),Time-of-Flight SIMS (ToF-SIMS),X-ray Absorption Near Edge Structure (XANES),Laser Ablation Q/SF-ICP-MS (LA-Q/SF-ICP-MS),Laser Ablation Q-ICP-MS (LA-Q-ICP-MS),Laser Ablation SF-ICP-MS (LA-SF-ICP-MS),Laser Ablation MC-ICP-MS (LA-MC-ICP-MS),Laser Ablation ICP-ToF-MS (LA-ICP-ToF-MS),Laser Ablation ICP-TQ-MS (LA-ICP-TQ-MS),Solution ICP-MS,Solution Q-ICP-MS,Solution SF-ICP-MS,Multi-Collector ICP-MS (MC-ICP-MS),Thermal Ionization Mass Spectrometry (TIMS),Laser Assisted Fluorination – IRMS (LAF),Accelerator Mass Spectrometry (AMS),Static Noble Gas & Nitrogen Mass Spectrometry (Noble Gas MS),Lab X-ray Computed Tomography (Lab-XCT)
Ma2015,10.1016/j.epsl.2015.03.057,"Ma et al, 2015.pdf",EPMA,Detailed,Brief,N,Brief,Brief,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hu2020,10.1016/j.gca.2019.06.012,"Hu et al, 2020.pdf",EPMA,Detailed,Brief,N,Brief,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Liu2016,10.1111/maps.12726,Meteorit   Planetary Scien - 2016 - Liu - Mineral chemistry of the Tissint meteorite  Indications of two‐stage.pdf,EPMA,Detailed,Brief,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N
Ma2017,10.1111/maps.13000,Meteorit   Planetary Scien - 2017 - Ma - Liebermannite  KAlSi3O8  a new shock‐metamorphic  high‐pressure mineral from the.pdf,EPMA,Detailed,Brief,N,Brief,Brief,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Frank2023,10.1111/maps.14083,Meteorit   Planetary Scien - 2023 - Frank - Calcium‐aluminum‐rich inclusion found in the Ivuna CI chondrite  Are CI.pdf,EPMA,Detailed,Brief,Brief,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Broussard2026,10.1111/maps.70138,Meteorit   Planetary Scien - 2026 - Broussard - CI chondrite Oued Chebeika 002 links asteroids Bennu and Ryugu to common.pdf,EPMA,Detailed,Brief,N,N,Brief,N,N,N,N,N,N,N,N,N,Brief,Brief,N,Detailed,N,Detailed,Detailed,N,N
Seifert2026,10.1111/maps.70167,Meteorit   Planetary Scien - 2026 - Seifert - Apatite in Bennu samples indicates multiple stages of aqueous alteration.pdf,EPMA,Detailed,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pang2016,10.1038/srep26063,srep26063.pdf,EPMA,Detailed,Brief,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
McCoy2025,10.1038/s41586-024-08495-6,s41586-024-08495-6.pdf,EPMA,Detailed,Detailed,Detailed,N,Detailed,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zega2025,10.1038/s41561-025-01741-0,s41561-025-01741-0.pdf,EPMA,Detailed,Detailed,Detailed,N,Detailed,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
