Severity,TAPP,Row,Field,Check,Message
INFO,(cross-TAPP),,Analysis Sequence,tier-divergence,"Tier assignment differs across 9 TAPPs — LA-MC-ICPMS_TAPP_v10.csv: C=Basic,D=Editable; LA-MC-ICPMS_UPb_TAPP_v10.csv: C=Basic,D=Editable; LA-Q-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; LA-Q-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Editable; LA-SF-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; LA-SF-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Editable; Solution_MC-ICP-MS_TAPP_v14.csv: C=Basic,D=Read-Only; Solution_Q-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only; Solution_SF-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,EDS Acquisition Mode,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v16.csv: C=Basic,D=Read-Only; SEM_Composition_TAPP_v13.csv: C=Basic,D=Read-Only; SEM_TAPP_v13.csv: C=Basic,D=Read-Only; TEM_TAPP_v15.csv: C=Basic,D=Editable. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,EDS Detector Configuration,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v16.csv: C=Advanced,D=Read-Only; SEM_Composition_TAPP_v13.csv: C=Advanced,D=Read-Only; SEM_TAPP_v13.csv: C=Advanced,D=Read-Only; TEM_TAPP_v15.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,EDS Live Time per Point or Pixel,tier-divergence,"Tier assignment differs across 4 TAPPs — EPMA_TAPP_v16.csv: C=Basic,D=Editable; SEM_Composition_TAPP_v13.csv: C=Basic,D=Editable; SEM_TAPP_v13.csv: C=Basic,D=Editable; TEM_TAPP_v15.csv: C=Advanced,D=Editable. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Mass Resolution Setting,tier-divergence,"Tier assignment differs across 9 TAPPs — LA-MC-ICPMS_TAPP_v10.csv: C=Basic,D=Editable; LA-MC-ICPMS_UPb_TAPP_v10.csv: C=Basic,D=Editable; LA-Q-ICP-MS_TAPP_v14.csv: C=Basic,D=Read-Only; LA-Q-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Read-Only; LA-SF-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; LA-SF-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Editable; Solution_MC-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; Solution_Q-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only; Solution_SF-ICP-MS_TAPP_v16.csv: C=Basic,D=Editable. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Per-Analyte Calibration Strategy,tier-divergence,"Tier assignment differs across 9 TAPPs — LA-MC-ICPMS_TAPP_v10.csv: C=Basic,D=Read-Only; LA-MC-ICPMS_UPb_TAPP_v10.csv: C=Basic,D=Read-Only; LA-Q-ICP-MS_TAPP_v14.csv: C=Basic,D=Read-Only; LA-Q-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Read-Only; LA-SF-ICP-MS_TAPP_v14.csv: C=Basic,D=Read-Only; LA-SF-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Read-Only; Solution_MC-ICP-MS_TAPP_v14.csv: C=Advanced,D=Read-Only; Solution_Q-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only; Solution_SF-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Phase Identification Method,tier-divergence,"Tier assignment differs across 2 TAPPs — Lab-XCT_TAPP_v15.csv: C=Advanced,D=Editable; TEM_TAPP_v15.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Sample Persistent Identifier,tier-divergence,"Tier assignment differs across 16 TAPPs — EPMA_TAPP_v16.csv: C=Advanced,D=Advanced; LA-MC-ICPMS_TAPP_v10.csv: C=Advanced,D=Advanced; LA-MC-ICPMS_UPb_TAPP_v10.csv: C=Advanced,D=Advanced; LA-Q-ICP-MS_TAPP_v14.csv: C=Advanced,D=Advanced; LA-Q-ICP-MS_UPb_TAPP_v15.csv: C=Advanced,D=Advanced; LA-SF-ICP-MS_TAPP_v14.csv: C=Advanced,D=Advanced; LA-SF-ICP-MS_UPb_TAPP_v15.csv: C=Advanced,D=Advanced; Lab-XCT_TAPP_v15.csv: C=Advanced,D=Advanced; SEM_Composition_TAPP_v13.csv: C=Advanced,D=Advanced; SEM_FIBSEM_TAPP_v10.csv: C=Advanced,D=Advanced; SEM_Imaging_TAPP_v10.csv: C=Advanced,D=Advanced; SEM_TAPP_v13.csv: C=Advanced,D=Advanced; Solution_MC-ICP-MS_TAPP_v14.csv: C=Advanced,D=Basic; Solution_Q-ICP-MS_TAPP_v16.csv: C=Advanced,D=Basic; Solution_SF-ICP-MS_TAPP_v16.csv: C=Advanced,D=Basic; TEM_TAPP_v15.csv: C=Advanced,D=Advanced. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Sample Preparation Method,tier-divergence,"Tier assignment differs across 15 TAPPs — EPMA_TAPP_v16.csv: C=Basic,D=Editable; LA-MC-ICPMS_TAPP_v10.csv: C=Basic,D=Editable; LA-MC-ICPMS_UPb_TAPP_v10.csv: C=Basic,D=Editable; LA-Q-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; LA-Q-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Editable; LA-SF-ICP-MS_TAPP_v14.csv: C=Basic,D=Editable; LA-SF-ICP-MS_UPb_TAPP_v15.csv: C=Basic,D=Editable; SEM_Composition_TAPP_v13.csv: C=Basic,D=Editable; SEM_FIBSEM_TAPP_v10.csv: C=Basic,D=Editable; SEM_Imaging_TAPP_v10.csv: C=Basic,D=Editable; SEM_TAPP_v13.csv: C=Basic,D=Editable; Solution_MC-ICP-MS_TAPP_v14.csv: C=Basic,D=Read-Only; Solution_Q-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only; Solution_SF-ICP-MS_TAPP_v16.csv: C=Basic,D=Read-Only; TEM_TAPP_v15.csv: C=Basic,D=Read-Only. Intentional divergence must be recorded in precedents.md (Rule 2/4)."
INFO,(cross-TAPP),,Beam Current,keyed-by-divergence-registered,"Keyed By differs across 5 TAPPs — EPMA_TAPP_v16.csv: sampling unit; SEM_Composition_TAPP_v13.csv: sampling unit; SEM_FIBSEM_TAPP_v10.csv: (none); SEM_Imaging_TAPP_v10.csv: (none); SEM_TAPP_v13.csv: sampling unit. Registered as technique-dependent: per phase where composition is measured, scalar in imaging-only TAPPs"
INFO,(cross-TAPP),,Dwell Time per Pixel,keyed-by-divergence-registered,Keyed By differs across 5 TAPPs — EPMA_TAPP_v16.csv: analyte; SEM_Composition_TAPP_v13.csv: analyte; SEM_FIBSEM_TAPP_v10.csv: (none); SEM_Imaging_TAPP_v10.csv: (none); SEM_TAPP_v13.csv: analyte. Registered as technique-dependent: analyte only where compositional mapping exists
INFO,(cross-TAPP),,Monitored Isotopes,keyed-by-divergence-registered,Keyed By differs across 8 TAPPs — LA-MC-ICPMS_TAPP_v10.csv: analyte; LA-MC-ICPMS_UPb_TAPP_v10.csv: analyte; LA-Q-ICP-MS_TAPP_v14.csv: defines: channel per analyte; LA-Q-ICP-MS_UPb_TAPP_v15.csv: defines: channel per analyte; LA-SF-ICP-MS_TAPP_v14.csv: defines: channel per analyte; LA-SF-ICP-MS_UPb_TAPP_v15.csv: defines: channel per analyte; Solution_Q-ICP-MS_TAPP_v16.csv: defines: channel per analyte; Solution_SF-ICP-MS_TAPP_v16.csv: defines: channel per analyte. Registered as technique-dependent: defines: channel per analyte where there is no collector array; analyte where the cup array defines the channel
INFO,(cross-TAPP),,Primary Calibration Standard Name,keyed-by-divergence-registered,"Keyed By differs across 12 TAPPs — EPMA_TAPP_v16.csv: analyte; LA-MC-ICPMS_TAPP_v10.csv: (none); LA-MC-ICPMS_UPb_TAPP_v10.csv: (none); LA-Q-ICP-MS_TAPP_v14.csv: (none); LA-Q-ICP-MS_UPb_TAPP_v15.csv: (none); LA-SF-ICP-MS_TAPP_v14.csv: analyte; LA-SF-ICP-MS_UPb_TAPP_v15.csv: analyte; SEM_Composition_TAPP_v13.csv: analyte; SEM_TAPP_v13.csv: analyte; Solution_MC-ICP-MS_TAPP_v14.csv: (none); Solution_Q-ICP-MS_TAPP_v16.csv: (none); Solution_SF-ICP-MS_TAPP_v16.csv: (none). Registered as technique-dependent: analyte in EPMA/SEM and LA-SF; (none) in LA-Q, LA-MC and the Solution TAPPs, which use a single primary or one joint calibration set"
